id,symbol,name
1,AAA,南亞1000股選擇權
2,AAO,南亞選擇權
3,ABA,中鋼1000股選擇權
4,ABO,中鋼選擇權
5,ACA,聯電選擇權
6,ACO,聯電選擇權
7,ADA,台積電1000股選擇權
8,ADO,台積電選擇權
9,AEA,富邦金1000股選擇權
10,AEO,富邦金選擇權
11,AFA,南亞選擇權
12,AFO,南亞選擇權
13,AGA,中鋼選擇權
14,AGO,中鋼選擇權
15,AHA,聯電選擇權
16,AHO,聯電選擇權
17,AIA,臺積電選擇權
18,AIO,臺積電選擇權
19,AJA,富邦金選擇權
20,AJO,富邦金選擇權
21,AKA,台塑選擇權
22,AKO,台塑選擇權
23,ALA,仁寶選擇權
24,ALO,仁寶選擇權
25,AMA,友達選擇權
26,AMO,友達選擇權
27,ANA,華映選擇權
28,ANO,華映選擇權
29,AOA,華南金選擇權
30,AOO,華南金選擇權
31,APA,國泰金選擇權
32,APB,國泰金選擇權
33,APO,國泰金選擇權
34,AQA,兆豐金選擇權
35,AQO,兆豐金選擇權
36,ARA,台新金選擇權
37,ARO,台新金選擇權
38,ASA,中信金選擇權
39,ASO,中信金選擇權
40,ATA,奇美電選擇權
41,ATO,奇美電選擇權
42,AUA,統一選擇權
43,AUO,統一選擇權
44,AVA,遠紡選擇權
45,AVO,遠紡選擇權
46,AWA,華新選擇權
47,AWO,華新選擇權
48,AXA,日月光選擇權
49,AXO,日月光選擇權
50,AYO,中環選擇權
51,AZA,矽品選擇權
52,AZO,矽品選擇權
53,BAA,佳世達選擇權
54,BAO,佳世達選擇權
55,BBO,大同選擇權
56,BCA,南科選擇權
57,BCO,南科選擇權
58,BDA,長榮選擇權
59,BDO,長榮選擇權
60,BEA,陽明選擇權
61,BEO,陽明選擇權
62,BFA,華航選擇權
63,BFO,華航選擇權
64,BGA,彰銀選擇權
65,BGO,彰銀選擇權
66,BHA,新光金選擇權
67,BHB,新光金選擇權
68,BHO,新光金選擇權
69,BIA,永豐金選擇權
70,BIO,永豐金選擇權
71,BRF,布蘭特原油期貨
72,BTF,臺灣生技期貨
73,CA,南亞(股票期貨/選擇權)
74,CA1,南亞期貨
75,CAA,南亞選擇權
76,CAF,南亞期貨
77,CAO,南亞選擇權
78,CB,中鋼(股票期貨/選擇權)
79,CB1,中鋼期貨
80,CBA,中鋼選擇權
81,CBF,中鋼期貨
82,CBO,中鋼選擇權
83,CC,聯電(股票期貨/選擇權)
84,CCA,聯電選擇權
85,CCF,聯電期貨
86,CCO,聯電選擇權
87,CD,台積電(股票期貨/選擇權)
88,CDA,台積電選擇權
89,CDF,台積電期貨
90,CDO,台積電選擇權
91,CE,富邦金(股票期貨/選擇權)
92,CE1,富邦金期貨
93,CEA,富邦金選擇權
94,CEB,富邦金選擇權
95,CEF,富邦金期貨
96,CEO,富邦金選擇權
97,CF,台塑(股票期貨/選擇權)
98,CF1,台塑期貨
99,CFA,台塑選擇權
100,CFF,台塑期貨
101,CFO,台塑選擇權
102,CG,仁寶(股票期貨/選擇權)
103,CG1,仁寶期貨
104,CGA,仁寶選擇權
105,CGF,仁寶期貨
106,CGO,仁寶選擇權
107,CH,友達(股票期貨/選擇權)
108,CHA,友達選擇權
109,CHF,友達期貨
110,CHO,友達選擇權
111,CIO,華映選擇權
112,CJ,華南金(股票期貨/選擇權)
113,CJ1,華南金期貨
114,CJ2,華南金期貨
115,CJA,華南金選擇權
116,CJF,華南金期貨
117,CJO,華南金選擇權
118,CK,國泰金(股票期貨/選擇權)
119,CK1,國泰金期貨
120,CK2,國泰金期貨
121,CKA,國泰金選擇權
122,CKB,國泰金選擇權
123,CKF,國泰金期貨
124,CKO,國泰金選擇權
125,CL,兆豐金(股票期貨/選擇權)
126,CL1,兆豐金期貨
127,CLA,兆豐金選擇權
128,CLF,兆豐金期貨
129,CLO,兆豐金選擇權
130,CM,台新金(股票期貨/選擇權)
131,CM1,台新金期貨
132,CM2,台新金期貨
133,CMA,台新金選擇權
134,CMF,台新金期貨
135,CMO,台新金選擇權
136,CN,中信金(股票期貨/選擇權)
137,CN1,中信金期貨
138,CN2,中信金期貨
139,CNA,中信金選擇權
140,CNB,中信金選擇權
141,CNC,中信金選擇權
142,CNF,中信金期貨
143,CNO,中信金選擇權
144,COO,奇美電選擇權
145,CPF,三十天期利率期貨
146,CQ,統一(股票期貨/選擇權)
147,CQ1,統一期貨
148,CQA,統一選擇權
149,CQF,統一期貨
150,CQO,統一選擇權
151,CR,遠東新(股票期貨/選擇權)
152,CR1,遠東新期貨
153,CRA,遠東新選擇權
154,CRF,遠東新期貨
155,CRO,遠東新選擇權
156,CS,華新(股票期貨/選擇權)
157,CSA,華新選擇權
158,CSF,華新期貨
159,CSO,華新選擇權
160,CT1,日月光期貨
161,CTA,日月光選擇權
162,CTF,日月光期貨
163,CTO,日月光選擇權
164,CU,中環(股票期貨)
165,CU1,中環期貨
166,CUF,中環期貨
167,CUO,中環選擇權
168,CV1,矽品期貨
169,CVA,矽品選擇權
170,CVF,矽品期貨
171,CVO,矽品選擇權
172,CW,佳世達(股票期貨)
173,CW1,佳世達期貨
174,CWF,佳世達期貨
175,CWO,佳世達選擇權
176,CXA,大同選擇權
177,CXF,大同期貨
178,CXO,大同選擇權
179,CY,南亞科(股票期貨)
180,CYA,南科選擇權
181,CYF,南亞科期貨
182,CYO,南科選擇權
183,CZ,長榮(股票期貨/選擇權)
184,CZ1,長榮期貨
185,CZ2,長榮期貨
186,CZA,長榮選擇權
187,CZF,長榮期貨
188,CZO,長榮選擇權
189,DA1,陽明期貨
190,DAA,陽明選擇權
191,DAF,陽明期貨
192,DAO,陽明選擇權
193,DB1,華航期貨
194,DBA,華航選擇權
195,DBF,華航期貨
196,DBO,華航選擇權
197,DC,彰銀(股票期貨/選擇權)
198,DC1,彰銀期貨
199,DCA,彰銀選擇權
200,DCF,彰銀期貨
201,DCO,彰銀選擇權
202,DD,新光金(股票期貨)
203,DD1,新光金期貨
204,DD2,新光金期貨
205,DDA,新光金選擇權
206,DDF,新光金期貨
207,DDO,新光金選擇權
208,DE,永豐金(股票期貨/選擇權)
209,DE1,永豐金期貨
210,DE2,永豐金期貨
211,DEA,永豐金選擇權
212,DEB,永豐金選擇權
213,DEF,永豐金期貨
214,DEO,永豐金選擇權
215,DF,台泥(股票期貨/選擇權)
216,DF1,台泥期貨
217,DF2,台泥期貨
218,DFA,台泥選擇權
219,DFF,台泥期貨
220,DFO,台泥選擇權
221,DG,台化(股票期貨/選擇權)
222,DG1,台化期貨
223,DGA,台化選擇權
224,DGF,台化期貨
225,DGO,台化選擇權
226,DH,鴻海(股票期貨/選擇權)
227,DH1,鴻海期貨
228,DHA,鴻海選擇權
229,DHF,鴻海期貨
230,DHO,鴻海選擇權
231,DI,旺宏(股票期貨)
232,DI1,旺宏期貨
233,DIA,旺宏選擇權
234,DIF,旺宏期貨
235,DIO,旺宏選擇權
236,DJ,華碩(股票期貨/選擇權)
237,DJ1,華碩期貨
238,DJA,華碩選擇權
239,DJF,華碩期貨
240,DJO,華碩選擇權
241,DK,廣達(股票期貨/選擇權)
242,DK1,廣達期貨
243,DKA,廣達選擇權
244,DKF,廣達期貨
245,DKO,廣達選擇權
246,DL,中華電(股票期貨/選擇權)
247,DL1,中華電期貨
248,DL2,中華電期貨
249,DLA,中華電選擇權
250,DLF,中華電期貨
251,DLO,中華電選擇權
252,DM1,寶來證期貨
253,DMA,寶來證選擇權
254,DMF,寶來證期貨
255,DMO,寶來證選擇權
256,DN,玉山金(股票期貨/選擇權)
257,DN1,玉山金期貨
258,DN2,玉山金期貨
259,DNA,玉山金選擇權
260,DNB,玉山金選擇權
261,DNF,玉山金期貨
262,DNO,玉山金選擇權
263,DO,元大金(股票期貨/選擇權)
264,DO1,元大金期貨
265,DO2,元大金期貨
266,DOA,元大金選擇權
267,DOB,元大金選擇權
268,DOF,元大金期貨
269,DOO,元大金選擇權
270,DP,第一金(股票期貨/選擇權)
271,DP1,第一金期貨
272,DPA,第一金選擇權
273,DPF,第一金期貨
274,DPO,第一金選擇權
275,DQ,群創(股票期貨/選擇權)
276,DQ1,群創期貨
277,DQA,群創選擇權
278,DQF,群創期貨
279,DQO,群創選擇權
280,DR1,合庫期貨
281,DRA,合庫選擇權
282,DRF,合庫期貨
283,DRO,合庫選擇權
284,DS,宏碁(股票期貨/選擇權)
285,DS1,宏碁期貨
286,DSA,宏碁選擇權
287,DSF,宏碁期貨
288,DSO,宏碁選擇權
289,DT1,勝華期貨
290,DTA,勝華選擇權
291,DTF,勝華期貨
292,DTO,勝華選擇權
293,DU1,晶電期貨
294,DUA,晶電選擇權
295,DUF,晶電期貨
296,DUO,晶電選擇權
297,DV,聯發科(股票期貨/選擇權)
298,DV1,聯發科期貨
299,DVA,聯發科選擇權
300,DVF,聯發科期貨
301,DVO,聯發科選擇權
302,DW,潤泰全(股票期貨/選擇權)
303,DW1,潤泰全期貨
304,DWA,潤泰全選擇權
305,DWF,潤泰全期貨
